title,rate,image,director,date
낙엽귀근,9.22,https://movie-phinf.pstatic.net/20210302_166/1614666227601XrkTt_JPEG/movie_image.jpg?type=m99_141_2,장양,2021.04.01 
117편의 러브레터,8.91,https://movie-phinf.pstatic.net/20210302_206/1614663012921ti8Yu_JPEG/movie_image.jpg?type=m99_141_2,페트르 가르도스,2021.03.18 
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,7.80,https://movie-phinf.pstatic.net/20210305_203/1614920212117AFeua_JPEG/movie_image.jpg?type=m99_141_2,카와구치 케이이치로,2021.03.24 
동사서독 리덕스,8.66,https://movie-phinf.pstatic.net/20200604_15/1591247825393Va5w9_JPEG/movie_image.jpg?type=m99_141_2,왕가위,2013.12.05 
헬렌: 내 영혼의 자화상,8.11,https://movie-phinf.pstatic.net/20210205_206/1612491783197zQRPm_JPEG/movie_image.jpg?type=m99_141_2,안티 조키넨,2021.02.25 
몬테크리스토: 더 뮤지컬 라이브,9.45,https://movie-phinf.pstatic.net/20210305_78/1614908101775ijCvq_JPEG/movie_image.jpg?type=m99_141_2,오윤동,2021.03.19 
고백,6.02,https://movie-phinf.pstatic.net/20210323_142/1616486373585xOa7v_JPEG/movie_image.jpg?type=m99_141_2,서은영,2021.02.24 
반지의 제왕: 반지 원정대,9.29,https://movie-phinf.pstatic.net/20210308_290/16151786976685f4Mv_JPEG/movie_image.jpg?type=m99_141_2,피터 잭슨,2021.03.11 
세자매,8.55,https://movie-phinf.pstatic.net/20210114_78/1610588407942CoL2I_JPEG/movie_image.jpg?type=m99_141_2,이승원,2021.01.27 
아비정전,8.48,https://movie-phinf.pstatic.net/20170315_53/148955223217831bi6_JPEG/movie_image.jpg?type=m99_141_2,왕가위,2017.03.30 
"마진 콜: 24시간, 조작된 진실",7.79,https://movie-phinf.pstatic.net/20121221_25/1356071138067PJTJk_JPEG/movie_image.jpg?type=m99_141_2,J.C. 챈더,2021.03.25 
바울,9.16,https://movie-phinf.pstatic.net/20181126_296/1543195305541TXc6u_JPEG/movie_image.jpg?type=m99_141_2,앤드류 하얏트,2018.10.31 
유공자,8.50,https://movie-phinf.pstatic.net/20210224_129/1614143384817FSlm4_JPEG/movie_image.jpg?type=m99_141_2,박상훈,2021.03.01 
아이카,9.50,https://movie-phinf.pstatic.net/20210311_223/1615453972813YJ5GV_JPEG/movie_image.jpg?type=m99_141_2,세르게이 드보르체보이,2021.03.25 
너의 이름은.,8.79,https://movie-phinf.pstatic.net/20171222_70/1513920001726sikUX_JPEG/movie_image.jpg?type=m99_141_2,신카이 마코토,2018.01.04 
가나의 혼인잔치: 언약,9.42,https://movie-phinf.pstatic.net/20201023_21/1603421248315A8uvj_JPEG/movie_image.jpg?type=m99_141_2,브렌트 밀러 주니어,2020.11.26 
리틀 조,5.50,https://movie-phinf.pstatic.net/20210325_132/16166613479694u39i_JPEG/movie_image.jpg?type=m99_141_2,예시카 하우스너,2021.04.01 
라스트 레터,7.99,https://movie-phinf.pstatic.net/20210326_20/1616727664075P5xyx_JPEG/movie_image.jpg?type=m99_141_2,이와이 슌지,2021.02.24 
소공녀,8.79,https://movie-phinf.pstatic.net/20180306_274/1520300631041QOrJ2_JPEG/movie_image.jpg?type=m99_141_2,전고운,2018.03.22 
벌새,8.76,https://movie-phinf.pstatic.net/20190805_121/1564969695835Iq9Qc_JPEG/movie_image.jpg?type=m99_141_2,김보라,2019.08.29 
마태복음,7.71,https://movie-phinf.pstatic.net/20111222_8/1324530628278p3TjK_JPEG/movie_image.jpg?type=m99_141_2,피에르 파올로 파졸리니,2001.03.24 
밤빛,8.60,https://movie-phinf.pstatic.net/20210204_171/1612401648317NgFUf_JPEG/movie_image.jpg?type=m99_141_2,김무영,2021.03.04 
추룡 2 : 패왕,0.00,https://movie-phinf.pstatic.net/20210118_106/16109380921455Ax9y_JPEG/movie_image.jpg?type=m99_141_2,왕정,2021.04.01 
국가부도의 날,8.13,https://movie-phinf.pstatic.net/20181105_232/1541392865465aVb5V_JPEG/movie_image.jpg?type=m99_141_2,최국희,2018.11.28 
미션 파서블,7.33,https://movie-phinf.pstatic.net/20210217_241/1613552832867Ef7Rb_JPEG/movie_image.jpg?type=m99_141_2,김형주,2021.02.17 
신 고질라,4.97,https://movie-phinf.pstatic.net/20170303_253/14885224385190u8vi_JPEG/movie_image.jpg?type=m99_141_2,안노 히데아키,2017.03.08 
